DESCRIPTION,DAY,MONTH,YEAR,TOD,DOW,ADDRESS,LATITUDE,LONGITUDE
Traffic,1,1,2011,5,7,200 S STATE ST ,40.7266963,-111.88732040000002
Traffic,1,1,2011,5,7,500 S 200 W ,40.75847260000001,-111.8968085
Traffic,1,1,2011,5,7,400 S 200 W ,40.76058610000001,-111.8968186
Traffic,1,1,2011,1,7,600 W 400 S ,40.7606175,-111.90793870000002
Traffic,1,1,2011,1,7,400 S WEST TEMPLE ST ,40.7605126,-111.8943746
Traffic,1,1,2011,1,7,800 E 700 S ,40.7538201,-111.868046
Traffic,1,1,2011,1,7,600 N 3800 W ,40.7815369,-111.9822247
Traffic,1,1,2011,1,7,3700 W TERMINAL WESTBOUND DR ,40.7899404,-111.9790706
Traffic,1,1,2011,2,7,300 S 500 W ,40.7628188,-111.904821
Damaged Property,1,1,2011,2,7,1200 E 600 S ,40.7559946,-111.8566523
Damaged Property,1,1,2011,2,7,600 S 300 W ,40.7562937,-111.8995926
Traffic,1,1,2011,2,7,400 N 500 W ,40.778143,-111.9055187
Damaged Property,1,1,2011,3,7,300 S 1000 W ,40.7626929,-111.9200751
Assault,1,1,2011,3,7,1800 W 600 N ,40.78251849999999,-111.9421259
Assault,1,1,2011,1,7,900 E 300 S ,40.7624465,-111.8641991
Assault,1,1,2011,5,7,200 S 500 E ,40.76481920000001,-111.8769407
Traffic,1,1,2011,5,7,200 S 200 W ,40.7649874,-111.8968736
Damaged Property,1,1,2011,2,7,200 W 300 S ,40.76290729999999,-111.896798
Traffic,1,1,2011,3,7,1400 S WEST TEMPLE ST ,40.7380118,-111.8942417
Burglary/ Larceny/ Robbery,1,1,2011,1,7,200 W 900 S ,40.7497687,-111.8969759
Assault,1,1,2011,2,7,200 S RIO GRANDE ST ,40.76490689999999,-111.904099
Damaged Property,1,1,2011,1,7,300 N QUINCE ST ,40.7759395,-111.8950919
Traffic,1,1,2011,4,7,800 W LUCY AVE ,40.742665,-111.9140705
Traffic,1,1,2011,1,7,1600 W BUNBURY LN ,40.7550936,-111.93743329999998
Assault,1,1,2011,1,7,1400 S 400 E ,40.7392778,-111.8800247
Drugs,1,1,2011,1,7,400 E 700 S ,40.7540977,-111.8791797
Assault,1,1,2011,5,7,2600 S WINDSOR CIR ,40.713859,-111.866723
Burglary/ Larceny/ Robbery,1,1,2011,5,7,1800 S 1300 E ,40.7326497,-111.854752
Assault,1,1,2011,6,7,800 E STRATFORD AVE ,40.7158073,-111.8672322
Burglary/ Larceny/ Robbery,1,1,2011,1,7,3200 S RICHMOND ST ,40.7012805,-111.8554678
Assault,1,1,2011,5,7,200 W 200 N ,40.7737889,-111.8970025
Burglary/ Larceny/ Robbery,1,1,2011,6,7,1000 S 500 E ,40.7473019,-111.8771225
Burglary/ Larceny/ Robbery,1,1,2011,6,7,200 S RIO GRANDE ST ,40.76490689999999,-111.904099
Assault,1,1,2011,6,7,1300 E 1700 S ,40.73350070000001,-111.8538225
Traffic,1,1,2011,4,7,1200 S 5600 W ,40.7403673,-112.0249274
Drugs,1,1,2011,5,7,500 W 100 S ,40.7675403,-111.905548
Assault,1,1,2011,6,7,500 W 300 N ,40.77586549999999,-111.9054871
Traffic,1,1,2011,7,7,2200 S 1300 E ,40.7232669,-111.8537452
Assault,1,1,2011,7,7,1100 N REDWOOD RD ,40.7934489,-111.9391747
Assault,1,1,2011,8,7,500 N 800 W ,40.7802533,-111.91398390000002
Burglary/ Larceny/ Robbery,1,1,2011,7,7,2000 S 900 W ,40.7272795,-111.9177975
Drugs,1,1,2011,7,7,100 E 1300 S ,40.7416041,-111.8874302
Traffic,1,1,2011,8,7,1700 E NORTH CAMPUS DR ,40.77092879999999,-111.8448126
Assault,1,1,2011,2,7,100 W 200 S ,40.7650126,-111.8939916
Traffic,1,1,2011,7,7,2000 S 900 W ,40.7272795,-111.9177975
Burglary/ Larceny/ Robbery,1,1,2011,8,7,200 N 400 W ,40.7739598,-111.9027068
Drugs,1,1,2011,8,7,900 S RICHARDS ST ,40.733844,-111.8925773
Traffic,2,1,2011,5,7,300 S STATE ST ,40.7755999,-111.88766979999998
Assault,1,1,2011,1,7,100 E GIRARD AVE ,40.7815298,-111.8873037
Drugs,1,1,2011,3,7,600 S 300 W ,40.7562937,-111.8995926
Traffic,1,1,2011,7,7,800 S WEST TEMPLE ST ,40.75194339999999,-111.8940684
Assault,1,1,2011,8,7,1700 S EDISON ST ,40.7334953,-111.8867426
Damaged Property,1,1,2011,1,7,1100 S FOOTHILL DR ,40.74547929999999,-111.8304456
Traffic,1,1,2011,6,7,2100 S WEST TEMPLE ST ,40.7254341,-111.8939886
Burglary/ Larceny/ Robbery,1,1,2011,5,7,500 S 800 E ,40.758468500000006,-111.8685545
Traffic,1,1,2011,5,7,600 S 600 W ,40.7564533,-111.9081305
Traffic,1,1,2011,6,7,400 S 600 W ,40.7607727,-111.908179
Traffic,1,1,2011,6,7,1300 S 900 W ,40.74157520000001,-111.91760659999998
Traffic,1,1,2011,8,7,100 W 200 S ,40.7650126,-111.8939916
Traffic,1,1,2011,6,7,1100 N VICTORY RD ,40.7940934,-111.9033169
Traffic,1,1,2011,8,7,500 W 200 S ,40.76508870000001,-111.905431
Traffic,1,1,2011,4,7,2300 N BECK ST ,40.8172957,-111.9168255
Drugs,1,1,2011,7,7,200 S 500 W ,40.7644537,-111.9054265
Burglary/ Larceny/ Robbery,1,1,2011,8,7,600 S 200 W ,40.75618,-111.8968765
Assault,3,1,2011,5,7,1700 S MAIN ST ,40.7334886,-111.8910995
Burglary/ Larceny/ Robbery,3,1,2011,7,7,500 E 400 S ,40.7605646,-111.8766411
Assault,4,1,2011,7,7,000 S RIO GRANDE ST ,40.76446199999999,-111.904565
Traffic,1,1,2011,1,7,1300 E EMERSON AVE ,40.7315104,-111.8551883
Traffic,1,1,2011,4,7,000 W VAN BUREN AVE ,40.735922,-111.9315855
Burglary/ Larceny/ Robbery,10,1,2011,4,7,100 W 600 S ,40.7562945,-111.89396399999998
Burglary/ Larceny/ Robbery,1,1,2011,1,7,500 W 100 S ,40.7675403,-111.905548
Burglary/ Larceny/ Robbery,1,1,2011,5,7,500 S MAIN ST ,40.75741259999999,-111.8926615
Burglary/ Larceny/ Robbery,1,1,2011,4,7,1000 W 1300 S ,40.7417909,-111.9192611
Burglary/ Larceny/ Robbery,1,1,2011,1,7,700 E 600 S ,40.7560126,-111.8709371
Damaged Property,1,1,2011,1,7,700 N 900 W ,40.7845768,-111.9168413
