address,latitude,longitude
"00 N 550 W, Salt Lake City, Utah",40.7607793,-111.8910474
"00 N 600 W, Salt Lake City, Utah",40.7706088,-111.9088858
"00 N 800 W  REAR OF THIS ADDRESS, Salt Lake City, Utah",40.7780379,-111.9139653
"00 N 800 W, Salt Lake City, Utah",40.7720248,-111.9135695
"00 N 900 W, Salt Lake City, Utah",40.7917832,-111.9175439
"00 N A ST, Salt Lake City, Utah",40.7504498,-111.867748
"00 N B ST, Salt Lake City, Utah",40.7221796,-111.8566606
"00 N C ST, Salt Lake City, Utah",40.708987,-111.9019184
"00 N CHICAGO ST, Salt Lake City, Utah",40.804296,-111.918691
"00 N D ST, Salt Lake City, Utah",40.759622,-111.886826
"00 N DUDER ST, Salt Lake City, Utah",40.7758984,-111.9330516
"00 N E ST, Salt Lake City, Utah",40.7625488,-111.8906406
"00 N F ST, Salt Lake City, Utah",40.7760559,-111.874852
"00 N G ST, Salt Lake City, Utah",40.774866,-111.868249
"00 N I ST, Salt Lake City, Utah",40.774866,-111.868249
"00 N J ST, Salt Lake City, Utah",40.7574,-111.890776
"00 N L ST, Salt Lake City, Utah",40.7418906,-111.8982696
"00 N LAUREL ST, Salt Lake City, Utah",40.77093869999999,-111.8510187
"00 N M ST, Salt Lake City, Utah",40.7607793,-111.8910474
"00 N MARIO CAPECCHI DR, Salt Lake City, Utah",40.771108,-111.8389056
"00 N MARKET ST, Salt Lake City, Utah",40.7618965,-111.8926844
"00 N MEDICAL DR, Salt Lake City, Utah",40.7724979,-111.8361177
"00 N N ST, Salt Lake City, Utah",40.7607793,-111.8910474
"00 N O ST, Salt Lake City, Utah",40.774866,-111.868249
"00 N Q ST, Salt Lake City, Utah",40.7607793,-111.8910474
"00 N R ST, Salt Lake City, Utah",40.72063,-111.890488
"00 N RIO GRANDE ST, Salt Lake City, Utah",40.7631836,-111.9045285
"00 N TOMMY THOMPSON RD, Salt Lake City, Utah",40.7709541,-112.0017756
"00 N WEST TEMPLE ST, Salt Lake City, Utah",40.7731779,-111.8944468
"00 N WOLCOTT ST, Salt Lake City, Utah",40.7696684,-111.8489869
"00 RIO GRANDE ST, Salt Lake City, Utah",40.7631836,-111.9045285
"00 S / STATE ST, Salt Lake City, Utah",40.7266963,-111.8873204
"00 S 1000 W, Salt Lake City, Utah",0.0,0.0
"00 S 1200 E, Salt Lake City, Utah",40.7583947,-111.8567395
"00 S 1300 E, Salt Lake City, Utah",40.7276578,-111.8533652
"00 S 200 E, Salt Lake City, Utah",40.7620648,-111.8848994
"00 S 200 W, Salt Lake City, Utah",40.76234580000001,-111.8972179
"00 S 2000 E, Salt Lake City, Utah",40.7211204,-111.8333644
"00 S 2400 W, Salt Lake City, Utah",40.7706491,-111.9577452
"00 S 300 E, Salt Lake City, Utah",40.7218281,-111.8809686
"00 S 300 W, Salt Lake City, Utah",40.7603224,-111.9001362
"00 S 400 E, Salt Lake City, Utah",40.7407793,-111.879657
"00 S 400 W, Salt Lake City, Utah",40.765806,-111.902808
"00 S 500 E, Salt Lake City, Utah",40.6970892,-111.8788812
"00 S 5100 W, Salt Lake City, Utah",40.7679477,-112.0137652
"00 S 600 E, Salt Lake City, Utah",0.0,0.0
"00 S 600 W, Salt Lake City, Utah",40.7635558,-111.9087296
"00 S 615 W, Salt Lake City, Utah",40.7668196,-111.9090368
"00 S 900 W, Salt Lake City, Utah",40.7513355,-111.9182978
"00 S CENTRAL CAMPUS DR, Salt Lake City, Utah",40.764993,-111.845623
"00 S ELIZABETH ST, Salt Lake City, Utah",40.7675609,-111.8577352
"00 S FINCH LN, Salt Lake City, Utah",40.7680343,-111.8529711
"00 S FINCH ST, Salt Lake City, Utah",40.7681358,-111.8528083
"00 S NAVAJO ST, Salt Lake City, Utah",40.7502773,-111.929484
