DESCRIPTION,DAY,MONTH,YEAR,TOD,DOW,ADDRESS,LATITUDE,LONGITUDE
Traffic,1,1,2010,5,6,100 S 600 E ,40.7666722,-111.87399340000002
Traffic,1,1,2010,5,6,200 W 200 S ,40.7651065,-111.89717749999998
Traffic,1,1,2010,5,6,500 W 100 S ,40.7675403,-111.905548
Traffic,1,1,2010,5,6,200 W 500 S ,40.75847260000001,-111.8968085
Traffic,1,1,2010,5,6,1000 E 1700 S ,40.7335056,-111.8624645
Traffic,1,1,2010,5,6,300 E 600 S ,40.7557514,-111.8816964
Homicide,1,1,2010,5,6,400 N REDWOOD RD ,40.7782602,-111.938851
Assault,1,1,2010,5,6,700 S STATE ST ,40.753716,-111.887661
Assault,1,1,2010,5,6,300 N J ST ,40.734764,-111.8825175
Drugs,1,1,2010,5,6,2100 S MAIN ST ,40.715305,-111.891442
Assault,1,1,2010,5,6,300 N C ST ,40.7607793,-111.89104740000002
Burglary/ Larceny/ Robbery,1,1,2010,5,6,100 W 600 S ,40.7562945,-111.89396399999998
Burglary/ Larceny/ Robbery,1,1,2010,5,6,1400 S CHEYENNE ST ,40.7389586,-111.93452659999998
Assault,1,1,2010,5,6,900 W MONTAGUE AVE ,40.749661,-111.917437
Burglary/ Larceny/ Robbery,1,1,2010,5,6,500 E 1ST AVE ,40.7705416,-111.8745294
Assault,1,1,2010,5,6,500 S 700 E ,40.7584937,-111.8711584
Damaged Property,1,1,2010,5,6,200 N 200 W ,40.7781149,-111.896592
Assault,1,1,2010,5,6,2400 S 500 E ,40.7185177,-111.8768591
Assault,1,1,2010,5,6,1400 S 400 E ,40.7392778,-111.8800247
Assault,1,1,2010,5,6,1300 W 800 S ,40.7522669,-111.927994
Traffic,1,1,2010,5,6,1900 W ZACHARY DR ,40.7856117,-111.9461287
Traffic,1,1,2010,5,6,1300 S 300 W ,40.7412999,-111.8998243
Traffic,1,1,2010,5,6,1300 S 700 W ,40.7415313,-111.9110876
Traffic,1,1,2010,5,6,1100 E BRICKYARD RD ,40.7015898,-111.8597243
Burglary/ Larceny/ Robbery,1,1,2010,5,6,1000 W MACFARLAND DR ,40.7873751,-111.9200899
Burglary/ Larceny/ Robbery,1,1,2010,5,6,800 W 1600 N ,40.802382,-111.9149244
Assault,1,1,2010,5,6,2300 S 600 E ,40.7206523,-111.8742434
Damaged Property,1,1,2010,5,6,1700 S MAIN ST ,40.7334886,-111.8910995
Assault,1,1,2010,5,6,100 W 200 S ,40.7650126,-111.8939916
Burglary/ Larceny/ Robbery,1,1,2010,5,6,1400 W HARRIS AVE ,40.7348883,-111.9308936
Burglary/ Larceny/ Robbery,1,1,2010,5,6,200 N 2100 W ,40.7740677,-111.9502463
Damaged Property,1,1,2010,5,6,1100 W 700 S ,40.7541076,-111.9226014
Assault,1,1,2010,5,6,800 S 500 E ,40.7519538,-111.8767923
Assault,1,1,2010,5,6,800 S 300 E ,40.7518402,-111.8824953
Burglary/ Larceny/ Robbery,1,1,2010,5,6,300 N 1000 W ,40.7759842,-111.9192534
Assault,1,1,2010,5,6,200 S MAIN ST ,40.76502120000001,-111.8911299
Damaged Property,1,1,2010,5,6,400 N 1000 W ,40.7781638,-111.9194038
Drugs,1,1,2010,5,6,1700 S MAIN ST ,40.7334886,-111.8910995
Assault,1,1,2010,5,6,200 N 200 W ,40.7781149,-111.896592
Traffic,1,1,2010,5,6,1300 S MAIN ST ,40.7415981,-111.891078
Traffic,1,1,2010,5,6,1300 S 1100 E ,40.7416055,-111.85991609999998
Burglary/ Larceny/ Robbery,1,1,2010,5,6,100 N REDWOOD RD ,40.7716848,-111.93884640000002
Burglary/ Larceny/ Robbery,1,1,2010,5,6,700 E ROOSEVELT AVE ,40.73794520000001,-111.8712705
Burglary/ Larceny/ Robbery,1,1,2010,5,6,300 W HOPE AVE ,40.7389021,-111.8996891
Damaged Property,1,1,2010,5,6,500 N PUGSLEY ST ,40.7802251,-111.9010024
Damaged Property,1,1,2010,5,6,1700 S 4250 W ,40.7324442,-111.9936353
Burglary/ Larceny/ Robbery,1,1,2010,5,6,300 N ADMIRAL BYRD RD ,40.77441150000001,-112.0222348
Assault,1,1,2010,5,6,100 W PIERPONT AVE ,40.7639241,-111.8939909
Assault,1,1,2010,5,6,100 N REDWOOD RD ,40.7716848,-111.93884640000002
Burglary/ Larceny/ Robbery,1,1,2010,5,6,600 S 200 W ,40.75618,-111.8968765
Burglary/ Larceny/ Robbery,1,1,2010,5,6,900 E 400 S ,40.76123,-111.8647644
Burglary/ Larceny/ Robbery,1,1,2010,5,6,100 W 600 S ,40.7562945,-111.89396399999998
Drugs,1,1,2010,5,6,600 S GREEN ST ,40.7564264,-111.9067868
Damaged Property,1,1,2010,5,6,1800 S 800 E ,40.6910573,-111.8684369
Traffic,1,1,2010,5,6,2100 S 900 E ,40.7242383,-111.864707
Damaged Property,1,1,2010,5,6,600 S 900 E ,40.7563067,-111.8653455
Assault,1,1,2010,5,6,300 S WEST TEMPLE ST ,40.7629951,-111.9344913
Burglary/ Larceny/ Robbery,1,1,2010,5,6,1700 S 4490 W ,40.735128,-111.9984731
Burglary/ Larceny/ Robbery,1,1,2010,5,6,500 S MAIN ST ,40.75741259999999,-111.8926615
Burglary/ Larceny/ Robbery,1,1,2010,5,6,5400 W 700 S ,40.75480570000001,-112.0248106
Assault,1,1,2010,5,6,700 S 300 E ,40.7541235,-111.8825002
Burglary/ Larceny/ Robbery,1,1,2010,5,6,400 N PAMELA WAY ,40.77815620000001,-111.9427743
Burglary/ Larceny/ Robbery,1,1,2010,5,6,600 N WALL ST ,40.78245220000001,-111.8945467
Traffic,1,1,2010,5,6,2100 S 1100 E ,40.7011788,-111.8597414
Drugs,1,1,2010,5,6,2100 S HIGHLAND DR ,40.7245423,-111.8601514
Traffic,1,1,2010,5,6,500 E SOUTH TEMPLE ST ,40.763630600000006,-111.8775188
Assault,1,1,2010,5,6,1400 W ARAPAHOE AVE ,40.7550065,-111.9306893
Assault,1,1,2010,5,6,100 S 200 W ,40.7670426,-111.8975046
Burglary/ Larceny/ Robbery,1,1,2010,5,6,400 S DOUGLAS ST ,40.7606516,-111.8552982
Burglary/ Larceny/ Robbery,1,1,2010,5,6,1900 S 4130 W ,40.7297768,-111.9901309
Burglary/ Larceny/ Robbery,1,1,2010,5,6,1500 S 900 E ,40.7371616,-111.8653437
Damaged Property,1,1,2010,5,6,2300 S ONEIDA ST ,40.7210549,-111.8298898
Burglary/ Larceny/ Robbery,1,1,2010,5,6,2000 W NORTH TEMPLE RAMP ,40.7709608,-111.9091425
Burglary/ Larceny/ Robbery,1,1,2010,5,6,300 W 600 N ,40.7824345,-111.8998268
Burglary/ Larceny/ Robbery,1,1,2010,5,6,4900 W WILEY POST WAY ,40.7741383,-112.0083568
Damaged Property,1,1,2010,5,6,300 N G ST ,40.7762803,-111.8742344
Damaged Property,1,1,2010,5,6,500 E 8TH AVE ,40.77829860000001,-111.8744618
Burglary/ Larceny/ Robbery,1,1,2010,5,6,1900 S 4650 W ,40.734803,-112.0032351
Burglary/ Larceny/ Robbery,1,1,2010,5,6,600 N 1000 W ,40.7822758,-111.9193209
Burglary/ Larceny/ Robbery,1,1,2010,5,6,1400 S CONCORD ST ,40.73862329999999,-111.9270731
Burglary/ Larceny/ Robbery,1,1,2010,5,6,200 E ENSIGN VISTA DR ,40.79194620000001,-111.886174
Burglary/ Larceny/ Robbery,1,1,2010,5,6,900 E SIMPSON AVE ,40.7221909,-111.8653871
Damaged Property,1,1,2010,5,6,3700 W 800 S ,40.7524361,-111.979729
Burglary/ Larceny/ Robbery,1,1,2010,5,6,1400 S STATE ST ,40.7364728,-111.8877563
Burglary/ Larceny/ Robbery,1,1,2010,5,6,1600 W 400 S ,40.7605833,-111.9355279
Traffic,1,1,2010,5,6,1100 W ONTARIO DR ,40.743284,-111.921878
Damaged Property,1,1,2010,5,6,3700 W TERMINAL WESTBOUND DR ,40.7899404,-111.9790706
Traffic,1,1,2010,5,6,000 CALIFORNIA AVE ,40.739921,-111.964485
Traffic,2,1,2010,5,7,000 CLEVELAND AVE ,40.738578,-111.88919
Burglary/ Larceny/ Robbery,2,1,2010,5,7,400 S WEST TEMPLE ST ,40.7605126,-111.8943746
