DESCRIPTION,DAY,MONTH,YEAR,TOD,DOW,ADDRESS,LATITUDE,LONGITUDE
DUI,1,1,2015,5,5,200 W 600 S ,40.756966,-111.896295
DUI,1,1,2015,1,5,700 E SOUTH TEMPLE ST ,40.7693501,-111.8709734
DUI,1,1,2015,1,5,300 E 800 S ,40.7519481,-111.882496
DUI,1,1,2015,1,5,200 S 200 W ,40.7649874,-111.8968736
Burglary/ Larceny/ Robbery,1,1,2015,1,5,600 S 200 W ,40.75618,-111.8968765
Assault,1,1,2015,1,5,500 S MAIN ST ,40.75741259999999,-111.8926615
Burglary/ Larceny/ Robbery,1,1,2015,1,5,2700 S 800 E ,40.7126711,-111.8683093
Assault,1,1,2015,5,5,700 N 300 W ,40.78428830000001,-111.8996124
Burglary/ Larceny/ Robbery,1,1,2015,1,5,800 E 800 S ,40.7505975,-111.8661082
Assault,1,1,2015,2,5,700 W 300 N ,40.7760449,-111.9112656
Assault,1,1,2015,5,5,300 S MAIN ST ,40.7629375,-111.890901
Assault,1,1,2015,4,5,1400 S 900 W ,40.7391911,-111.9168632
Burglary/ Larceny/ Robbery,1,1,2015,4,5,500 N TERMINAL NORTHBOUND DR ,40.7899404,-111.9790706
Drugs,1,1,2015,4,5,300 S 700 E ,40.7627931,-111.8713736
Burglary/ Larceny/ Robbery,1,1,2015,4,5,300 W HOPE AVE ,40.7389021,-111.8996891
Burglary/ Larceny/ Robbery,1,1,2015,4,5,200 S ORANGE ST ,40.76490379999999,-111.9438104
Assault,1,1,2015,6,5,1500 W GLENROSE DR ,40.7461874,-111.9332105
Drugs,1,1,2015,5,5,000 S RIO GRANDE ST ,40.76446199999999,-111.904565
Weapons,1,1,2015,3,5,800 S MONTGOMERY ST ,40.752255700000006,-111.9358384
Assault,1,1,2015,6,5,600 N 800 W ,40.7824385,-111.9139759
Assault,1,1,2015,8,5,1700 S REDWOOD RD ,40.7328673,-111.9392752
Burglary/ Larceny/ Robbery,1,1,2015,8,5,1400 S STATE ST ,40.7364728,-111.8877563
DUI,1,1,2015,8,5,1500 S STATE ST ,40.7364728,-111.8877563
Drugs,1,1,2015,6,5,300 S 400 W ,40.7629099,-111.9026091
Burglary/ Larceny/ Robbery,1,1,2015,6,5,300 W HOPE AVE ,40.7389021,-111.8996891
Damaged Property,1,1,2015,6,5,300 W HOPE AVE ,40.7389021,-111.8996891
Burglary/ Larceny/ Robbery,1,1,2015,7,5,1300 S 300 W ,40.7412999,-111.8998243
Assault,1,1,2015,7,5,800 S 600 E ,40.751956,-111.874024
Damaged Property,1,1,2015,7,5,7200 W CALIFORNIA AVE ,40.7402564,-112.0342708
Burglary/ Larceny/ Robbery,1,1,2015,7,5,1600 S RIVERSIDE DR ,40.735137400000006,-111.922555
Assault,1,1,2015,8,5,600 S 200 W ,40.75618,-111.8968765
Assault,1,1,2015,5,5,100 W 400 S ,40.760712100000006,-111.89396
Burglary/ Larceny/ Robbery,1,1,2015,8,5,300 S POST ST ,40.76281270000001,-111.9182399
Assault,1,1,2015,4,5,1000 S REMINGTON WAY ,40.7446728,-111.9136587
Drugs,1,1,2015,4,5,1800 S STATE ST ,40.7304705,-111.8874912
Burglary/ Larceny/ Robbery,1,1,2015,1,5,300 E 1300 S ,40.741631700000006,-111.8824737
Damaged Property,1,1,2015,5,5,1200 W NORTH TEMPLE ST ,40.7716933,-111.9247636
Hit and Run,1,1,2015,7,5,400 S 500 E ,40.7605634,-111.876778
Assault,1,1,2015,8,5,1600 E STRATFORD AVE ,40.7151955,-111.8448559
Burglary/ Larceny/ Robbery,1,1,2015,8,5,300 E BLAINE AVE ,40.7326802,-111.8824933
Hit and Run,1,1,2015,5,5,400 S 700 E ,40.7604266,-111.8712065
Burglary/ Larceny/ Robbery,8,1,2015,6,5,700 N WARM SPRINGS RD ,40.7845056,-111.9109976
Burglary/ Larceny/ Robbery,1,1,2015,4,5,1300 W 300 S ,40.7631263,-111.89718159999998
Damaged Property,1,1,2015,4,5,600 S 600 E ,40.75625220000001,-111.87384640000002
Damaged Property,1,1,2015,6,5,1400 W PACIFIC AVE ,40.7597696,-111.9313812
Burglary/ Larceny/ Robbery,1,1,2015,6,5,1700 S 700 E ,40.733218,-111.8715437
Hit and Run,20,1,2015,1,5,200 N VIRGINIA ST ,40.7739183,-111.8522497
Burglary/ Larceny/ Robbery,10,2,2015,6,5,900 S MAIN ST ,40.7497637,-111.8910783
Damaged Property,16,3,2015,1,5,200 N 300 W ,40.7735704,-111.8984229
DUI,1,1,2015,8,6,200 W 400 S ,40.7607174,-111.8968168
Drugs,2,1,2015,1,6,2000 S 900 W ,40.7272795,-111.9177975
Burglary/ Larceny/ Robbery,2,1,2015,1,6,400 N PAMELA WAY ,40.77815620000001,-111.9427743
Damaged Property,2,1,2015,1,6,1000 N AMERICAN BEAUTY DR ,40.7910503,-111.9214901
Damaged Property,2,1,2015,3,6,500 N 1300 W ,40.78023220000001,-111.9284115
Damaged Property,2,1,2015,3,6,1700 W NORTH STAR DR ,40.7775778,-111.9362267
Assault,2,1,2015,1,6,600 S 200 W ,40.75618,-111.8968765
Assault,2,1,2015,5,6,100 W 600 S ,40.7562945,-111.89396399999998
Burglary/ Larceny/ Robbery,2,1,2015,3,6,300 W HOPE AVE ,40.7389021,-111.8996891
Drugs,2,1,2015,4,6,100 E 400 S ,40.760535,-111.8880008
