DESCRIPTION,DAY,MONTH,YEAR,TOD,DOW,ADDRESS,LATITUDE,LONGITUDE
DUI,1,1,2016,1,6,200 W 500 S ,40.75847260000001,-111.8968085
DUI,1,1,2016,1,6,400 S WEST TEMPLE ST ,40.7605126,-111.8943746
DUI,1,1,2016,1,6,900 S MAIN ST ,40.7497637,-111.8910783
Hit and Run,1,1,2016,1,6,300 E 400 S ,40.7601745,-111.8823835
DUI,1,1,2016,1,6,900 S 200 E ,40.74902700000001,-111.885744
Assault,1,1,2016,1,6,400 E SEGO AVE ,40.7550018,-111.879605
Assault,1,1,2016,1,6,1400 S 300 W ,40.7389991,-111.8996873
Assault,1,1,2016,2,6,1800 W INDEPENDENCE BLVD ,40.8017545,-111.9419335
Assault,1,1,2016,2,6,200 W PAXTON AVE ,40.7437162,-111.8967414
Assault,1,1,2016,5,6,100 W 200 S ,40.7650126,-111.8939916
Burglary/ Larceny/ Robbery,1,1,2016,1,6,700 N 1200 W ,40.784551,-111.9255455
Assault,1,1,2016,1,6,300 S 300 E ,40.76269080000001,-111.8828278
Damaged Property,1,1,2016,4,6,1100 N BUCCANEER DR ,40.7929591,-111.9244942
Burglary/ Larceny/ Robbery,1,1,2016,6,6,1100 S 300 W ,40.7449238,-111.9002751
Burglary/ Larceny/ Robbery,1,1,2016,5,6,1200 E BRICKYARD RD ,40.7013685,-111.8565479
Assault,1,1,2016,6,6,1700 W 700 N ,40.7847416,-111.9393754
Drugs,1,1,2016,6,6,200 S 400 W ,40.76492210000001,-111.9026345
Burglary/ Larceny/ Robbery,1,1,2016,1,6,100 E 100 S ,40.7671844,-111.8879897
Drugs,1,1,2016,7,6,200 S 500 W ,40.7644537,-111.9054265
Assault,1,1,2016,5,6,200 W 500 S ,40.75847260000001,-111.8968085
Burglary/ Larceny/ Robbery,1,1,2016,6,6,300 W HOPE AVE ,40.7389021,-111.8996891
Drugs,1,1,2016,4,6,200 S RIO GRANDE ST ,40.76490689999999,-111.904099
Burglary/ Larceny/ Robbery,1,1,2016,7,6,300 W HOPE AVE ,40.7389021,-111.8996891
Burglary/ Larceny/ Robbery,1,1,2016,6,6,200 S 500 W ,40.7644537,-111.9054265
Drugs,1,1,2016,5,6,400 W 500 S ,40.758494,-111.9027591
Assault,1,1,2016,7,6,400 W 200 S ,40.768625,-111.9039064
Drugs,1,1,2016,4,6,100 N 600 W ,40.7717458,-111.9082524
Drugs,1,1,2016,1,6,900 S WEST TEMPLE ST ,40.7497827,-111.89395079999998
Assault,1,1,2016,5,6,800 S 1400 W ,40.7512163,-111.9311716
Assault,1,1,2016,1,6,100 W PIERPONT AVE ,40.7639241,-111.8939909
