DESCRIPTION,DAY,MONTH,YEAR,TOD,DOW,ADDRESS,LATITUDE,LONGITUDE
Traffic,1,1,2009,,5,500 S WEST TEMPLE ST ,40.75915,-111.898112
Traffic,1,1,2009,,5,400 S 200 W ,40.76058610000001,-111.8968186
Traffic,1,1,2009,,5,000 W 300 S ,40.760345,-112.03592
Traffic,1,1,2009,,5,800 S MAIN ST ,40.7519553,-111.8910857
Traffic,1,1,2009,,5,100 W 200 S ,40.7650126,-111.8939916
Traffic,1,1,2009,,5,600 E 400 S ,40.7605673,-111.8738543
Traffic,1,1,2009,,5,900 E 800 S ,40.751962,-111.8652801
Traffic,1,1,2009,,5,400 S 400 W ,40.7606489,-111.9026322
Traffic,1,1,2009,,5,700 S WEST TEMPLE ST ,40.7539346,-111.89396409999998
Traffic,1,1,2009,,5,900 E 400 S ,40.76123,-111.8647644
Traffic,1,1,2009,,5,500 S 500 W ,40.7570146,-111.9059894
Traffic,1,1,2009,,5,500 S 300 W ,40.7584786,-111.8997831
Burglary/ Larceny/ Robbery,1,1,2009,,5,500 E 2100 S ,40.725607,-111.8771244
Burglary/ Larceny/ Robbery,1,1,2009,,5,1700 S 300 W ,40.7318946,-111.8996992
Traffic,1,1,2009,,5,500 N TERMINAL NORTHBOUND DR ,40.7899404,-111.9790706
Burglary/ Larceny/ Robbery,1,1,2009,,5,400 N 400 W ,40.778185,-111.903605
Assault,1,1,2009,,5,100 N 900 W ,40.7717239,-111.9167242
Burglary/ Larceny/ Robbery,1,1,2009,,5,200 W 300 S ,40.76290729999999,-111.896798
Assault,1,1,2009,,5,600 N 900 W ,40.7823809,-111.9168388
Assault,1,1,2009,,5,1500 W 400 S ,40.760849,-111.93405020000002
Burglary/ Larceny/ Robbery,1,1,2009,,5,2000 S 900 W ,40.7272795,-111.9177975
Traffic,1,1,2009,,5,300 N CENTER ST ,40.7759674,-111.8925239
Assault,1,1,2009,,5,600 N OAKLEY ST ,40.7824198,-111.9269971
Assault,1,1,2009,,5,200 E 300 S ,40.7624966,-111.8852983
Assault,1,1,2009,,5,1500 W 2100 S ,40.7260081,-111.9363876
Damaged Property,1,1,2009,,5,800 S 500 E ,40.7519538,-111.8767923
Burglary/ Larceny/ Robbery,1,1,2009,,5,1100 N REDWOOD RD ,40.7934489,-111.9391747
Damaged Property,1,1,2009,,5,400 N 200 W ,40.7787937,-111.8967377
Assault,1,1,2009,,5,300 S 300 E ,40.76269080000001,-111.8828278
Burglary/ Larceny/ Robbery,1,1,2009,,5,4000 W 1820 S ,40.7308794,-111.9874217
Burglary/ Larceny/ Robbery,1,1,2009,,5,800 S MAIN ST ,40.7519553,-111.8910857
Burglary/ Larceny/ Robbery,1,1,2009,,5,800 S STATE ST ,40.75096129999999,-111.8878227
Drugs,1,1,2009,,5,1600 S FOOTHILL DR ,40.7356272,-111.8220903
Burglary/ Larceny/ Robbery,1,1,2009,,5,1600 W BRAMPTON WAY ,40.784626,-111.936997
Burglary/ Larceny/ Robbery,1,1,2009,,5,1400 S WEST TEMPLE ST ,40.7380118,-111.8942417
Burglary/ Larceny/ Robbery,1,1,2009,,5,1000 E SOUTH TEMPLE ST ,40.7693533,-111.862518
Burglary/ Larceny/ Robbery,1,1,2009,,5,700 S STATE ST ,40.753716,-111.887661
Burglary/ Larceny/ Robbery,1,1,2009,,5,000 N 900 W ,40.79178320000001,-111.9175439
Traffic,1,1,2009,,5,200 S 400 E ,40.7649554,-111.8796274
Drugs,1,1,2009,,5,400 W 200 S ,40.768625,-111.9039064
Damaged Property,1,1,2009,,5,200 E 900 S ,40.7497771,-111.8853688
Burglary/ Larceny/ Robbery,1,1,2009,,5,700 S 500 E ,40.75408579999999,-111.877367
Burglary/ Larceny/ Robbery,1,1,2009,,5,100 N 900 W ,40.7717239,-111.9167242
Burglary/ Larceny/ Robbery,1,1,2009,,5,1200 E HUDSON AVE ,40.7069504,-111.8567421
Weapons,1,1,2009,,5,800 W 400 N ,40.77838010000001,-111.9141112
Assault,1,1,2009,,5,100 W PIERPONT AVE ,40.7639241,-111.8939909
Drugs,1,1,2009,,5,500 W 200 S ,40.76508870000001,-111.905431
Traffic,1,1,2009,,5,500 E 1700 S ,40.73350960000001,-111.8770159
Burglary/ Larceny/ Robbery,1,1,2009,,5,2200 S 1300 E ,40.7232669,-111.8537452
Drugs,1,1,2009,,5,500 W 200 S ,40.76508870000001,-111.905431
Burglary/ Larceny/ Robbery,1,1,2009,,5,000 E 600 S ,40.7560063,-111.88974650000002
Burglary/ Larceny/ Robbery,1,1,2009,,5,200 S RIO GRANDE ST ,40.76490689999999,-111.904099
Burglary/ Larceny/ Robbery,1,1,2009,,5,2200 S 1300 E ,40.7232669,-111.8537452
Damaged Property,1,1,2009,,5,1200 E 2100 S ,40.7251792,-111.85703909999998
Damaged Property,1,1,2009,,5,600 S LAKE ST ,40.75613679999999,-111.8696119
Damaged Property,1,1,2009,,5,700 N TERMINAL NORTHBOUND DR ,40.7899404,-111.9790706
Burglary/ Larceny/ Robbery,1,1,2009,,5,000 S RIO GRANDE ST ,40.76446199999999,-111.904565
Damaged Property,1,1,2009,,5,2400 E PARLEYS WAY ,40.72325170000001,-111.8213835
Assault,1,1,2009,,5,300 S 200 W ,40.7627456,-111.8967972
Burglary/ Larceny/ Robbery,1,1,2009,,5,400 S DENVER ST ,40.7605654,-111.8781673
Burglary/ Larceny/ Robbery,1,1,2009,,5,700 S MAIN ST ,40.754175,-111.891196
Burglary/ Larceny/ Robbery,1,1,2009,,5,800 S MAIN ST ,40.7519553,-111.8910857
Assault,1,1,2009,,5,100 E WILLIAMS AVE ,40.7468545,-111.8881057
Burglary/ Larceny/ Robbery,1,1,2009,,5,600 E 500 S ,40.75879200000001,-111.8734852
Damaged Property,1,1,2009,,5,2200 S BERKELEY ST ,40.72313949999999,-111.8273746
Damaged Property,1,1,2009,,5,1100 E 4TH AVE ,40.7737123,-111.85649440000002
Burglary/ Larceny/ Robbery,1,1,2009,,5,1700 S RICHARDS ST ,40.7334915,-111.8925827
Burglary/ Larceny/ Robbery,1,1,2009,,5,900 W 300 N ,40.7758883,-111.9170578
Burglary/ Larceny/ Robbery,1,1,2009,,5,1200 W IOLA AVE ,40.7619965,-111.9256539
Burglary/ Larceny/ Robbery,1,1,2009,,5,700 S STATE ST ,40.753716,-111.887661
Damaged Property,1,1,2009,,5,100 W 500 S ,40.7584778,-111.8939592
Damaged Property,1,1,2009,,5,100 W 500 S ,40.7584778,-111.8939592
Damaged Property,1,1,2009,,5,1400 S 1900 E ,40.7387909,-111.8370163
Burglary/ Larceny/ Robbery,1,1,2009,,5,2200 S 1300 E ,40.7232669,-111.8537452
Burglary/ Larceny/ Robbery,1,1,2009,,5,200 S RIO GRANDE ST ,40.76490689999999,-111.904099
Burglary/ Larceny/ Robbery,1,1,2009,,5,100 W 500 S ,40.7584778,-111.8939592
Burglary/ Larceny/ Robbery,1,1,2009,,5,000 S RIO GRANDE ST ,40.76446199999999,-111.904565
Burglary/ Larceny/ Robbery,1,1,2009,,5,500 N 500 W ,40.78040900000001,-111.90441509999998
Burglary/ Larceny/ Robbery,1,1,2009,,5,300 W 600 S ,40.755722,-111.89901
Assault,1,1,2009,,5,900 E 700 S ,40.754428,-111.865941
Burglary/ Larceny/ Robbery,1,1,2009,,5,1300 S FOOTHILL DR ,40.7416417,-111.8272776
Damaged Property,1,1,2009,,5,1700 W NORTH TEMPLE ST ,40.77163789999999,-111.9393653
Drugs,1,1,2009,,5,1100 W 600 N ,40.7823861,-111.9225193
Traffic,1,1,2009,,5,300 S 300 W ,40.753129,-111.898832
Assault,1,1,2009,,5,1300 S 400 E ,40.74160819999999,-111.879665
Burglary/ Larceny/ Robbery,1,1,2009,,5,700 E 18TH AVE ,40.788851,-111.8684712
Burglary/ Larceny/ Robbery,1,1,2009,,5,1100 S 700 E ,40.74622840000001,-111.8712636
Burglary/ Larceny/ Robbery,1,1,2009,,5,300 W 200 S ,40.7650071,-111.89980690000002
Burglary/ Larceny/ Robbery,1,1,2009,,5,2300 W NORTH TEMPLE ST ,40.76882020000001,-111.9568495
Burglary/ Larceny/ Robbery,1,1,2009,,5,000 S RIO GRANDE ST ,40.76446199999999,-111.904565
Damaged Property,1,1,2009,,5,400 N QUINCE ST ,40.7784804,-111.8950419
Burglary/ Larceny/ Robbery,1,1,2009,,5,700 N 900 W ,40.7845768,-111.9168413
Burglary/ Larceny/ Robbery,1,1,2009,,5,600 N LAFAYETTE DR ,40.7845467,-111.9237566
Burglary/ Larceny/ Robbery,1,1,2009,,5,1600 S PIONEER RD ,40.7353834,-111.9588165
Traffic,2,1,2009,,6,700 S 500 E ,40.75408579999999,-111.877367
Traffic,2,1,2009,,6,100 E 1700 S ,40.733518,-111.8881031
Burglary/ Larceny/ Robbery,2,1,2009,,6,600 E 500 S ,40.75879200000001,-111.8734852
Burglary/ Larceny/ Robbery,2,1,2009,,6,1600 W NORTH TEMPLE ST ,40.7716337,-111.9366006
Burglary/ Larceny/ Robbery,2,1,2009,,6,800 S STATE ST ,40.75096129999999,-111.8878227
Burglary/ Larceny/ Robbery,2,1,2009,,6,800 S STATE ST ,40.75096129999999,-111.8878227
Burglary/ Larceny/ Robbery,2,1,2009,,6,800 S STATE ST ,40.75096129999999,-111.8878227
Burglary/ Larceny/ Robbery,2,1,2009,,6,1800 S 1600 E ,40.7311398,-111.8454808
Damaged Property,2,1,2009,,6,1300 N REDWOOD RD ,40.7976275,-111.9383412
Damaged Property,2,1,2009,,6,100 E 200 S ,40.7650228,-111.8881366
Damaged Property,2,1,2009,,6,1700 E 2700 S ,40.7124283,-111.8419295
Damaged Property,2,1,2009,,6,700 S MAIN ST ,40.754175,-111.891196
Burglary/ Larceny/ Robbery,2,1,2009,,6,900 S STATE ST ,40.7489044,-111.889149
Burglary/ Larceny/ Robbery,2,1,2009,,6,2600 E HERITAGE WAY ,40.711099,-111.8172611
Burglary/ Larceny/ Robbery,2,1,2009,,6,1100 E GILMER DR ,40.74963270000001,-111.8594978
Burglary/ Larceny/ Robbery,2,1,2009,,6,1100 E WILMINGTON AVE ,40.7338304,-111.8591491
Burglary/ Larceny/ Robbery,2,1,2009,,6,1000 N TERRACE HILLS DR ,40.7905799,-111.8632134
Burglary/ Larceny/ Robbery,2,1,2009,,6,300 S 1200 E ,40.7628177,-111.8568493
Burglary/ Larceny/ Robbery,2,1,2009,,6,400 E HARVARD AVE ,40.7448816,-111.8796257
Burglary/ Larceny/ Robbery,2,1,2009,,6,800 W 200 N ,40.77368660000001,-111.9140856
Traffic,2,1,2009,,6,1600 S BENNETT RD ,40.7352473,-111.9485533
Traffic,2,1,2009,,6,2300 S FOOTHILL DR ,40.7211246,-111.81155929999998
Burglary/ Larceny/ Robbery,2,1,2009,,6,1000 E 2100 S ,40.7253947,-111.8625244
Drugs,2,1,2009,,6,900 W EUCLID AVE ,40.766081,-111.91683229999998
Traffic,2,1,2009,,6,1700 S 700 E ,40.733218,-111.8715437
Burglary/ Larceny/ Robbery,2,1,2009,,6,1600 E ROOSEVELT AVE ,40.7379369,-111.84509540000002
Damaged Property,2,1,2009,,6,1600 E ROOSEVELT AVE ,40.7379369,-111.84509540000002
Burglary/ Larceny/ Robbery,2,1,2009,,6,000 S WOLCOTT ST ,40.7681127,-111.8489993
Burglary/ Larceny/ Robbery,2,1,2009,,6,1700 S PARK ST ,40.7335157,-111.875181
Traffic,2,1,2009,,6,900 S MAIN ST ,40.7497637,-111.8910783
Traffic,2,1,2009,,6,800 E 2100 S ,40.7254667,-111.8681987
Drugs,2,1,2009,,6,200 S 500 W ,40.7644537,-111.9054265
Burglary/ Larceny/ Robbery,2,1,2009,,6,1100 E ASHTON AVE ,40.72016319999999,-111.8595202
Burglary/ Larceny/ Robbery,2,1,2009,,6,800 N OAK TREE CT ,40.7872925,-111.9164195
Burglary/ Larceny/ Robbery,2,1,2009,,6,800 S 800 W ,40.7552349,-111.9140551
Traffic,2,1,2009,,6,2100 S LINCOLN ST ,40.7254037,-111.8639337
Burglary/ Larceny/ Robbery,2,1,2009,,6,2100 S 700 E ,40.72497570000001,-111.8724847
Burglary/ Larceny/ Robbery,2,1,2009,,6,1200 S STATE ST ,40.7428326,-111.88864479999998
Burglary/ Larceny/ Robbery,2,1,2009,,6,300 W 2100 S ,40.7252555,-111.9000207
Burglary/ Larceny/ Robbery,2,1,2009,,6,400 E 6TH AVE ,40.7754733,-111.87748059999998
Traffic,2,1,2009,,6,2100 S 800 E ,40.7254667,-111.8681987
Assault,2,1,2009,,6,600 W 100 S ,40.7675284,-111.90837240000002
Burglary/ Larceny/ Robbery,2,1,2009,,6,600 E 5TH AVE ,40.7750893,-111.8715568
Traffic,2,1,2009,,6,1600 W CALIFORNIA AVE ,40.7406067,-111.9364384
Assault,2,1,2009,,6,1700 S 300 W ,40.7318946,-111.8996992
Burglary/ Larceny/ Robbery,2,1,2009,,6,500 N MARION ST ,40.78020720000001,-111.92114850000002
Traffic,2,1,2009,,6,100 N 900 W ,40.7717239,-111.9167242
Traffic,2,1,2009,,6,2100 S 900 E ,40.7242383,-111.864707
Burglary/ Larceny/ Robbery,2,1,2009,,6,2500 S WELLINGTON ST ,40.71665850000001,-111.8377499
Burglary/ Larceny/ Robbery,2,1,2009,,6,700 S STATE ST ,40.753716,-111.887661
Burglary/ Larceny/ Robbery,2,1,2009,,6,700 S STATE ST ,40.753716,-111.887661
Burglary/ Larceny/ Robbery,2,1,2009,,6,900 W CALIFORNIA AVE ,40.7406246,-111.9170531
Burglary/ Larceny/ Robbery,2,1,2009,,6,1100 E ASHTON AVE ,40.72016319999999,-111.8595202
Drugs,2,1,2009,,6,500 W 700 S ,40.75412360000001,-111.90539979999998
Burglary/ Larceny/ Robbery,2,1,2009,,6,500 N GRANT ST ,40.7802234,-111.9125488
Burglary/ Larceny/ Robbery,2,1,2009,,6,2300 S BERKELEY ST ,40.72085209999999,-111.8273646
Burglary/ Larceny/ Robbery,2,1,2009,,6,900 E 400 S ,40.76123,-111.8647644
Burglary/ Larceny/ Robbery,2,1,2009,,6,500 E 1700 S ,40.73350960000001,-111.8770159
Burglary/ Larceny/ Robbery,2,1,2009,,6,800 N OAK TREE CT ,40.7872925,-111.9164195
Damaged Property,2,1,2009,,6,400 E 900 S ,40.7497801,-111.8796207
Assault,2,1,2009,,6,700 N 900 W ,40.7845768,-111.9168413
Traffic,2,1,2009,,6,200 N VIRGINIA ST ,40.7739183,-111.8522497
Burglary/ Larceny/ Robbery,2,1,2009,,6,100 S 900 E ,40.7671833,-111.8653373
Burglary/ Larceny/ Robbery,2,1,2009,,6,2300 E COUNTRY CLUB DR ,40.71859110000001,-111.824493
Burglary/ Larceny/ Robbery,2,1,2009,,6,2300 E COUNTRY CLUB DR ,40.71859110000001,-111.824493
Traffic,2,1,2009,,6,500 S STATE ST ,40.7645885,-111.8878133
Traffic,2,1,2009,,6,000 SUNNYSIDE AVE ,40.7501811,-111.8141028
Traffic,2,1,2009,,6,1300 W INDIANA AVE ,40.7512635,-111.92798290000002
Traffic,2,1,2009,,6,000 700 S ,40.7542468,-112.0152896
Traffic,2,1,2009,,6,000 200 S ,40.7607793,-111.89104740000002
Assault,2,1,2009,,6,700 N 900 W ,40.7845768,-111.9168413
Burglary/ Larceny/ Robbery,2,1,2009,,6,1600 W 700 N ,40.7841156,-111.935973
Burglary/ Larceny/ Robbery,2,1,2009,,6,2300 E COUNTRY CLUB DR ,40.71859110000001,-111.824493
Damaged Property,2,1,2009,,6,2300 E COUNTRY CLUB DR ,40.71859110000001,-111.824493
Drugs,2,1,2009,,6,700 N 900 W ,40.7845768,-111.9168413
Traffic,2,1,2009,,6,1100 E 1300 S ,40.7415871,-111.8598179
Drugs,2,1,2009,,6,600 S 500 E ,40.756310600000006,-111.8767934
Burglary/ Larceny/ Robbery,2,1,2009,,6,600 S 400 E ,40.7562672,-111.8800299
Traffic,2,1,2009,,6,2200 S 1300 E ,40.7232669,-111.8537452
Assault,2,1,2009,,6,300 S 600 W ,40.7635558,-111.9087296
Burglary/ Larceny/ Robbery,2,1,2009,,6,600 S 4050 W ,40.7570704,-111.9894768
Traffic,2,1,2009,,6,1600 W CALIFORNIA AVE ,40.7406067,-111.9364384
Burglary/ Larceny/ Robbery,2,1,2009,,6,2100 S REDWOOD RD ,40.72625499999999,-111.938479
Burglary/ Larceny/ Robbery,2,1,2009,,6,700 S STATE ST ,40.753716,-111.887661
Damaged Property,2,1,2009,,6,1200 W 500 S ,40.7586918,-111.9256538
Burglary/ Larceny/ Robbery,2,1,2009,,6,1300 N REDWOOD RD ,40.7976275,-111.9383412
Assault,2,1,2009,,6,200 N 900 W ,40.7737438,-111.9162898
Drugs,2,1,2009,,6,200 S 500 W ,40.7644537,-111.9054265
Burglary/ Larceny/ Robbery,2,1,2009,,6,600 S BRAMPTON WAY ,40.7551581,-111.9363902
Burglary/ Larceny/ Robbery,2,1,2009,,6,2200 S 1300 E ,40.7232669,-111.8537452
Burglary/ Larceny/ Robbery,2,1,2009,,6,1300 N REDWOOD RD ,40.7976275,-111.9383412
Burglary/ Larceny/ Robbery,2,1,2009,,6,200 S WEST TEMPLE ST ,40.7650123,-111.8939666
Damaged Property,2,1,2009,,6,1200 W ILLINOIS AVE ,40.74412810000001,-111.92586409999998
Burglary/ Larceny/ Robbery,2,1,2009,,6,600 E 16TH AVE ,40.78723710000001,-111.8714848
Burglary/ Larceny/ Robbery,2,1,2009,,6,1200 E GILMER DR ,40.7484065,-111.8556179
Burglary/ Larceny/ Robbery,2,1,2009,,6,1900 S 1100 E ,40.7288445,-111.85993700000002
Burglary/ Larceny/ Robbery,2,1,2009,,6,1300 W NORTH TEMPLE ST ,40.7716255,-111.9285846
Damaged Property,2,1,2009,,6,600 S 900 E ,40.7563067,-111.8653455
Burglary/ Larceny/ Robbery,2,1,2009,,6,300 W HOPE AVE ,40.7389021,-111.8996891
Burglary/ Larceny/ Robbery,2,1,2009,,6,2000 E CRYSTAL AVE ,40.7140713,-111.8287514
Burglary/ Larceny/ Robbery,2,1,2009,,6,1300 W OURAY AVE ,40.779014200000006,-111.9284191
Burglary/ Larceny/ Robbery,2,1,2009,,6,500 E 700 S ,40.7538,-111.8767175
Traffic,2,1,2009,,6,2200 S 1300 E ,40.7232669,-111.8537452
Burglary/ Larceny/ Robbery,2,1,2009,,6,1200 N MORTON DR ,40.7992551,-111.9469114
Burglary/ Larceny/ Robbery,2,1,2009,,6,1800 S MILESTONE DR ,40.7324786,-111.9657189
Burglary/ Larceny/ Robbery,2,1,2009,,6,000 E 900 S ,40.7495678,-111.8659653
Burglary/ Larceny/ Robbery,3,1,2009,,7,1200 S 4800 W ,40.7453648,-112.0060068
Traffic,3,1,2009,,7,000 CALIFORNIA AVE ,40.739921,-111.964485
Assault,3,1,2009,,7,000 E 600 S ,40.7560063,-111.88974650000002
Burglary/ Larceny/ Robbery,3,1,2009,,7,400 E 400 S ,40.761055,-111.883181
Burglary/ Larceny/ Robbery,3,1,2009,,7,500 N TERMINAL NORTHBOUND DR ,40.7899404,-111.9790706
Damaged Property,3,1,2009,,7,900 E JASPER CIR ,40.7139916,-111.8633647
Traffic,3,1,2009,,7,200 W 1700 S ,40.7335032,-111.8965417
Traffic,3,1,2009,,7,100 S ELIZABETH ST ,40.76718560000001,-111.88404479999998
Traffic,3,1,2009,,7,000 MAIN ST ,40.7574,-111.890776
Burglary/ Larceny/ Robbery,3,1,2009,,7,100 W 300 S ,40.7629001,-111.8939572
Burglary/ Larceny/ Robbery,3,1,2009,,7,100 W 300 S ,40.7629001,-111.8939572
Burglary/ Larceny/ Robbery,3,1,2009,,7,500 S WEST TEMPLE ST ,40.75915,-111.898112
Burglary/ Larceny/ Robbery,3,1,2009,,7,200 W 1300 S ,40.7415803,-111.8965214
Damaged Property,3,1,2009,,7,1400 S WEST TEMPLE ST ,40.7380118,-111.8942417
Assault,3,1,2009,,7,500 S 200 E ,40.7580668,-111.8854891
Burglary/ Larceny/ Robbery,3,1,2009,,7,800 E 600 S ,40.7559462,-111.8680398
Burglary/ Larceny/ Robbery,3,1,2009,,7,800 E 600 S ,40.7559462,-111.8680398
Traffic,3,1,2009,,7,1000 E 500 S ,40.7583654,-111.8623099
Damaged Property,3,1,2009,,7,200 S MAIN ST ,40.76502120000001,-111.8911299
Traffic,3,1,2009,,7,2000 S 700 E ,40.7266842,-111.8712877
Burglary/ Larceny/ Robbery,3,1,2009,,7,1500 S 800 E ,40.73714879999999,-111.8681787
Traffic,3,1,2009,,7,500 E 800 S ,40.7517151,-111.87672659999998
Burglary/ Larceny/ Robbery,3,1,2009,,7,300 W HOPE AVE ,40.7389021,-111.8996891
Drugs,3,1,2009,,7,300 W HOPE AVE ,40.7389021,-111.8996891
Traffic,3,1,2009,,7,1400 S WEST TEMPLE ST ,40.7380118,-111.8942417
Drugs,3,1,2009,,7,300 E 1300 S ,40.741631700000006,-111.8824737
Assault,3,1,2009,,7,200 E 400 S ,40.7604928,-111.8851212
Traffic,3,1,2009,,7,2000 S 1000 E ,40.7265877,-111.8628264
Traffic,3,1,2009,,7,1000 W PROSPERITY AVE ,40.7859251,-111.9201105
Traffic,3,1,2009,,7,2400 S 1300 E ,40.7192778,-111.8537486
