address,latitude,longitude
"500 W / 300 S, Salt Lake City, Utah",40.762691,-111.905497
"4400 W 3500 S, Salt Lake City, Utah",40.748540000000006,-111.9964692
"600 E 10TH AVE, Salt Lake City, Utah",40.780677000000004,-111.871394
"2600 S IMPERIAL ST, Salt Lake City, Utah",40.715337,-111.84336299999998
"BRIARCLIFF AVE / RAMBLER DR, Salt Lake City, Utah",0.0,0.0
"700 E BUENO AVE, Salt Lake City, Utah",40.766217,-111.870897
"700 S 4150 W, Salt Lake City, Utah",40.754804440806296,-111.995918076232
"1600 W BUNBURY LN, Salt Lake City, Utah",40.755039000000004,-111.93746499999999
"4400 W 6095 S, Salt Lake City, Utah",40.748540000000006,-111.9964692
"4100 W 600 N, Salt Lake City, Utah",40.7825076,-111.94364909999999
"5900 W AMELIA EARHART DR, Salt Lake City, Utah",0.0,0.0
"900 W 1400 S, Salt Lake City, Utah",40.739269,-111.91696999999999
"SOUTH TEMPLE ST / STATE ST, Salt Lake City, Utah",0.0,0.0
"700 N TEMINAL NORTHBOUND DR, Salt Lake City, Utah",0.0,0.0
"200 S 900 W, Salt Lake City, Utah",40.764893,-111.91693799999999
"6000 W EAGLES PEAK CV, Salt Lake City, Utah",0.0,0.0
"300 NORTH 300 WEST, Salt Lake City, Utah",40.776167,-111.880393
"2800 S BEVERLY ST, Salt Lake City, Utah",0.0,0.0
"MAIN ST / KELSEY AVE, Salt Lake City, Utah",40.7432604,-111.8883305
"300 N RENDON CT, Salt Lake City, Utah",40.7752851515151,-111.909360505051
"1300 S IFIFTEEN FWY, Salt Lake City, Utah",0.0,0.0
"2500 S 1700 E, Salt Lake City, Utah",40.716778000000005,-111.842219
"I00 FWY 900 W, Salt Lake City, Utah",0.0,0.0
"2200 E SUNNYSIDE AVE, Salt Lake City, Utah",40.750658,-111.827827
"M ST / SOUTH TEMPLE ST, Salt Lake City, Utah",0.0,0.0
"2400 S 600 E, Salt Lake City, Utah",40.717946999999995,-111.874052
"1300 W 1200 S, Salt Lake City, Utah",40.795014,-111.929029
"1400 S PRESTON ST, Salt Lake City, Utah",0.0,0.0
"1300 E / 1700 S, Salt Lake City, Utah",40.733426,-111.853728
"200 S EDISON ST, Salt Lake City, Utah",0.0,0.0
"000 300 S, Salt Lake City, Utah",40.762845500000005,-111.85810740000001
"500 S NAVAJO ST, Salt Lake City, Utah",0.0,0.0
"500 S STATE ST, Salt Lake City, Utah",0.0,0.0
"3500 S 700 E, Salt Lake City, Utah",40.745706,-111.8710188
"00 W 900 S, Salt Lake City, Utah",40.7493055,-111.9551807
"3800 W 1400 N, Salt Lake City, Utah",0.0,0.0
"3000 E KENNEDY DR, Salt Lake City, Utah",40.747913,-111.804822
"900 E 100 S, Salt Lake City, Utah",40.767059,-111.86544099999999
"GLENDALE ST / CALIFORNIA AVE, Salt Lake City, Utah",0.0,0.0
"800 S DOUGLAS ST, Salt Lake City, Utah",0.0,0.0
"2800 N ROSE PARK LN, Salt Lake City, Utah",0.0,0.0
"800 N NORTHPOINT DR, Salt Lake City, Utah",0.0,0.0
"200 W 200 N, Salt Lake City, Utah",40.77338583333329,-111.92821308333299
"900 S 1400 E, Salt Lake City, Utah",40.7466549,-111.85092490000001
"2000 E REDONDO AVE, Salt Lake City, Utah",0.0,0.0
"400 N CHAZ CT, Salt Lake City, Utah",40.779529,-111.93583899999999
"3600 W 800 N, Salt Lake City, Utah",40.749722999999996,-111.977331
"00 W 3900 S, Salt Lake City, Utah",40.686630900000004,-111.89935919999999
"000 N 2400 W, Salt Lake City, Utah",40.7714802,-111.95821370000002
"1100 W LEXINGTON AVE, Salt Lake City, Utah",40.742381,-111.924852
"GALLIVAN AVE / STATE ST, Salt Lake City, Utah",0.0,0.0
"00 N RIO GRANDE, Salt Lake City, Utah",0.0,0.0
"1500 E 965 S, Salt Lake City, Utah",40.748211600000005,-111.847692110558
"3500 W MEADOWBROOK DR, Salt Lake City, Utah",0.0,0.0
"2800 W DIRECTORS RW, Salt Lake City, Utah",0.0,0.0
"3400 S PIONEER, Salt Lake City, Utah",0.0,0.0
"000 5600 W, Salt Lake City, Utah",40.7706994,-112.0250513
"6400 W 600 S, Salt Lake City, Utah",40.756279799999994,-111.9042693
"1200 E WARNOCK AVE, Salt Lake City, Utah",0.0,0.0
"300 N ARGYLE CT, Salt Lake City, Utah",40.77682,-111.909571
"1000 S 500 E, Salt Lake City, Utah",40.747394896551704,-111.87651100000001
"1300 S DOVER RD, Salt Lake City, Utah",0.0,0.0
"1600 E WESTMINSTER AVE, Salt Lake City, Utah",0.0,0.0
"200 W / 1700 S, Salt Lake City, Utah",40.733427,-111.88518899999998
"1700 S 1600 E, Salt Lake City, Utah",40.732044,-111.84522
"1800 W ASSOCIATED AVE, Salt Lake City, Utah",40.728820382632605,-111.943345738006
"00 W 700 S, Salt Lake City, Utah",40.7540511,-111.8963284
"200 N 1000 W, Salt Lake City, Utah",40.773767,-111.91953000000001
