DESCRIPTION,DAY,MONTH,YEAR,TOD,DOW,ADDRESS,LATITUDE,LONGITUDE
Traffic,1,1,2013,5,3,1700 S MAIN ST,40.7334886,-111.8910995
Drugs,1,1,2013,5,3,500 S MAIN ST,40.75741259999999,-111.8926615
Traffic,1,1,2013,1,3,500 S MAIN ST,40.75741259999999,-111.8926615
Traffic,1,1,2013,1,3,00 E 600 S,40.75675310000001,-111.8697361
Damaged Property,1,1,2013,5,3,300 E 200 S,40.7650089,-111.8824551
Traffic,1,1,2013,1,3,600 E 400 S,40.7605673,-111.8738543
Weapons,1,1,2013,5,3,700 W 400 N,40.77838149999999,-111.911194
Drugs,1,1,2013,2,3,500 W 400 S,40.7606194,-111.9055023
Traffic,1,1,2013,1,3,1100 E 800 S,40.7516126,-111.85942620000002
Traffic,1,1,2013,1,3,600 S 400 E,40.7562672,-111.8800299
Assault,1,1,2013,1,3,500 S MAIN ST,40.75741259999999,-111.8926615
Assault,1,1,2013,1,3,00 E 200 N,40.77395429999999,-111.8700664
Assault,1,1,2013,5,3,100 S MAIN ST,40.7474974,-111.8913928
Assault,1,1,2013,5,3,500 N 200 W,40.7801217,-111.8967275
Assault,1,1,2013,1,3,400 W SOUTH TEMPLE ST,40.7693764,-111.9031055
Assault,1,1,2013,1,3,1700 S 300 W,40.7318946,-111.8996992
Damaged Property,1,1,2013,2,3,1300 W STETSON WAY,40.7332143,-111.93061000000002
Damaged Property,1,1,2013,2,3,1300 W STETSON WAY,40.7332143,-111.93061000000002
Damaged Property,1,1,2013,2,3,1600 S STEWART ST,40.73895599999999,-111.9332077
Traffic,1,1,2013,3,3,200 W 1300 S,40.7415803,-111.8965214
Traffic,1,1,2013,4,3,400 S 900 W,40.76054660000001,-111.9170393
Traffic,1,1,2013,1,3,1200 S STATE ST,40.7428326,-111.88864479999998
Traffic,1,1,2013,5,3,3700 W TERMINAL WESTBOUND DR,40.7899404,-111.9790706
Assault,1,1,2013,2,3,200 W SOUTH TEMPLE ST,40.769411700000006,-111.8971168
Traffic,1,1,2013,5,3,700 S STATE ST,40.753716,-111.887661
Traffic,1,1,2013,3,3,2200 S KING ST,40.7232289,-111.8213837
Damaged Property,1,1,2013,5,3,2100 S 700 E,40.72497570000001,-111.8724847
Assault,1,1,2013,1,3,1200 E MALVERN AVE,40.71349710000001,-111.8888386
Traffic,1,1,2013,2,3,1000 N REDWOOD RD,40.7912016,-111.939092
Assault,1,1,2013,5,3,700 E 300 S,40.76274420000001,-111.8707484
Damaged Property,1,1,2013,4,3,1800 S 300 E,40.7311883,-111.8828691
Damaged Property,1,1,2013,4,3,1600 S NAVAJO ST,40.7344525,-111.9304278
Burglary/ Larceny/ Robbery,1,1,2013,1,3,00 N 1000 W,40.7724721,-111.9212366
Damaged Property,1,1,2013,1,3,1200 N BUCCANEER DR,40.7949253,-111.9248847
Assault,1,1,2013,1,3,1600 S 1200 E,40.7458177,-111.8572153
Burglary/ Larceny/ Robbery,1,1,2013,5,3,300 W HOPE AVE,40.7389021,-111.8996891
Traffic,1,1,2013,4,3,1400 S 500 W,40.7395392,-111.9066049
Assault,1,1,2013,6,3,200 E KENSINGTON AVE,40.7367885,-111.88473229999998
Burglary/ Larceny/ Robbery,1,1,2013,2,3,10TH AVE / K ST,40.7807355,-111.8685646
Burglary/ Larceny/ Robbery,1,1,2013,5,3,1800 S STATE ST,40.7304705,-111.8874912
Damaged Property,1,1,2013,6,3,1700 W IRIE LN,40.7807695,-111.9400754
Burglary/ Larceny/ Robbery,1,1,2013,3,3,900 W 800 N,40.7866399,-111.9168541
Assault,1,1,2013,5,3,300 E 200 S,40.7650089,-111.8824551
Weapons,1,1,2013,6,3,1100 S 300 W,40.7449238,-111.9002751
Assault,1,1,2013,6,3,500 S 500 E,40.75864259999999,-111.8770856
Burglary/ Larceny/ Robbery,1,1,2013,7,3,2600 S IMPERIAL ST,40.7154404,-111.8432763
Burglary/ Larceny/ Robbery,1,1,2013,7,3,2100 E 2100 S,40.725489,-111.83079920000002
Burglary/ Larceny/ Robbery,1,1,2013,5,3,300 S STATE ST,40.7755999,-111.88766979999998
Burglary/ Larceny/ Robbery,1,1,2013,7,3,2000 W 1500 S,40.738243,-111.9450024
Assault,1,1,2013,1,3,200 S 700 E,40.7649923,-111.871162
Weapons,1,1,2013,8,3,3700 W TERMINAL WESTBOUND DR,40.7899404,-111.9790706
Burglary/ Larceny/ Robbery,1,1,2013,8,3,1100 E 2100 S,40.7252525,-111.8587783
Burglary/ Larceny/ Robbery,1,1,2013,5,3,1100 S 300 W,40.7449238,-111.9002751
Burglary/ Larceny/ Robbery,1,1,2013,6,3,1100 S 300 W,40.7449238,-111.9002751
Burglary/ Larceny/ Robbery,1,1,2013,7,3,300 S RIO GRANDE ST,40.76202010000001,-111.9046622
Burglary/ Larceny/ Robbery,1,1,2013,7,3,500 W 200 S,40.76508870000001,-111.905431
Burglary/ Larceny/ Robbery,1,1,2013,7,3,1100 S 300 W,40.7449238,-111.9002751
Assault,1,1,2013,1,3,500 S 1300 E,40.7583682,-111.8539926
Damaged Property,1,1,2013,8,3,1800 W BRIDGE CREST CIR,40.7933694,-111.94148590000002
Burglary/ Larceny/ Robbery,1,1,2013,1,3,500 W 200 S,40.76508870000001,-111.905431
Assault,1,1,2013,8,3,900 N DOROTHEA WAY,40.7890403,-111.9444722
Burglary/ Larceny/ Robbery,1,1,2013,7,3,5400 W 700 S,40.75480570000001,-112.0248106
Traffic,1,1,2013,6,3,400 W 500 S,40.758494,-111.9027591
Traffic,1,1,2013,7,3,2ND AVE / H ST,40.7717006,-111.8730299
Traffic,1,1,2013,5,3,2700 S 700 E,40.7125778,-111.8713862
Traffic,1,1,2013,6,3,2200 S 1300 E,40.7232669,-111.8537452
Traffic,1,1,2013,7,3,900 E 2100 S,40.7242836,-111.8647183
Damaged Property,1,1,2013,4,3,100 W PIERPONT AVE,40.7639241,-111.8939909
Damaged Property,1,1,2013,7,3,900 E 2100 S,40.7242836,-111.8647183
Traffic,1,1,2013,6,3,800 S 900 W,40.7518772,-111.9172451
Traffic,1,1,2013,1,3,1500 S 1500 E,40.7370571,-111.8482749
Traffic,1,1,2013,5,3,1500 E LOGAN AVE,40.7343946,-111.8479815
Traffic,1,1,2013,7,3,500 S FOOTHILL DR,40.7577836,-111.8409402
Traffic,1,1,2013,8,3,100 S REDWOOD RD,40.7672385,-111.9392657
Assault,1,1,2013,4,3,500 N TERMINAL NORTHBOUND DR,40.7899404,-111.9790706
Burglary/ Larceny/ Robbery,1,1,2013,8,3,1100 S 700 W,40.74496660000001,-111.9114533
Traffic,1,1,2013,6,3,500 N TERMINAL NORTHBOUND DR,40.7899404,-111.9790706
Traffic,1,1,2013,7,3,1600 W 400 S,40.7605833,-111.9355279
Burglary/ Larceny/ Robbery,1,1,2013,8,3,600 N I ST,40.78304989999999,-111.8712223
Burglary/ Larceny/ Robbery,1,1,2013,7,3,300 N CENTER ST,40.7759674,-111.8925239
Burglary/ Larceny/ Robbery,1,1,2013,1,3,2000 E HOLLYWOOD AVE,40.7275704,-111.8336199
Assault,1,1,2013,5,3,100 W 400 S,40.760712100000006,-111.89396
Burglary/ Larceny/ Robbery,1,1,2013,5,3,1300 N BECK ST,40.79875089999999,-111.9073023
Traffic,1,1,2013,5,3,200 W 400 S,40.7607174,-111.8968168
Assault,1,1,2013,1,3,1500 S MAJOR ST,40.73674889999999,-111.8896868
Burglary/ Larceny/ Robbery,1,1,2013,2,3,1300 N BECK ST,40.79875089999999,-111.9073023
Burglary/ Larceny/ Robbery,1,1,2013,1,3,00 S WOLCOTT ST,40.7681127,-111.8489993
Burglary/ Larceny/ Robbery,1,1,2013,5,3,00 S WOLCOTT ST,40.7681127,-111.8489993
Sexual Assault/ Sexual Offense,1,1,2013,6,3,1500 W 400 S,40.760849,-111.93405020000002
Burglary/ Larceny/ Robbery,1,1,2013,5,3,100 W CLINTON AVE,40.78353269999999,-111.89396409999998
Burglary/ Larceny/ Robbery,1,1,2013,1,3,1800 S 500 E,40.7311206,-111.8771096
Sexual Assault/ Sexual Offense,1,1,2013,1,3,100 W 600 S,40.7562945,-111.89396399999998
Sexual Assault/ Sexual Offense,1,1,2013,1,3,1600 W 400 S,40.7605833,-111.9355279
Damaged Property,1,1,2013,5,3,300 E 200 S,40.7650089,-111.8824551
Burglary/ Larceny/ Robbery,1,1,2013,1,3,1900 W NORTH TEMPLE ST,40.7721944,-111.9457223
Burglary/ Larceny/ Robbery,1,1,2013,5,3,700 N 5600 W,40.7854158,-112.023813
Burglary/ Larceny/ Robbery,1,1,2013,1,3,2400 S 700 E,40.7182706,-111.8713636
Burglary/ Larceny/ Robbery,1,1,2013,5,3,500 E 300 S,40.7628073,-111.8767932
Sexual Assault/ Sexual Offense,1,1,2013,1,3,700 N 2200 W,40.7845681,-111.9531847
Burglary/ Larceny/ Robbery,1,1,2013,4,3,100 S 900 E,40.7671833,-111.8653373
Traffic,2,1,2013,5,4,300 W 200 S,40.7650071,-111.89980690000002
Traffic,2,1,2013,1,4,1900 W SIR JAMES DR,40.78408710000001,-111.94531229999998
Traffic,2,1,2013,2,4,1800 WEST NORTH TEMPLE,40.77203009999999,-111.9426712
Traffic,2,1,2013,3,4,700 N TERMINAL NORTHBOUND DR,40.7899404,-111.9790706
Traffic,2,1,2013,3,4,400 S REDWOOD RD,40.6847133,-111.9414839
Burglary/ Larceny/ Robbery,2,1,2013,3,4,1100 E ELGIN HEIGHTS LN,40.7050732,-111.8597266
Traffic,2,1,2013,4,4,1500 S 700 W,40.7365875,-111.9117283
Traffic,2,1,2013,4,4,1000 W INDIANA AVE,40.7518895,-111.9195757
Traffic,2,1,2013,1,4,1600 S MAJOR ST,40.734735,-111.890026
Burglary/ Larceny/ Robbery,2,1,2013,4,4,5700 W 700 S,40.7555296,-112.0272748
Burglary/ Larceny/ Robbery,2,1,2013,4,4,1100 E MICHIGAN AVE,40.7476485,-111.85951
Traffic,2,1,2013,5,4,4200 W CALIFORNIA AVE,40.7431819,-111.9923363
Burglary/ Larceny/ Robbery,2,1,2013,4,4,100 N C ST,40.7607793,-111.89104740000002
Assault,2,1,2013,1,4,1900 W SIR JAMES DR,40.78408710000001,-111.94531229999998
Burglary/ Larceny/ Robbery,2,1,2013,4,4,2100 S HIGHLAND DR,40.7245423,-111.8601514
Assault,2,1,2013,4,4,1400 S STATE ST,40.7364728,-111.8877563
Drugs,2,1,2013,6,4,900 W 500 N,40.7802145,-111.9168553
Burglary/ Larceny/ Robbery,2,1,2013,3,4,1000 W 2100 S,40.7263838,-111.9196675
Burglary/ Larceny/ Robbery,2,1,2013,4,4,2000 S 2760 W,40.72785070000001,-111.9591015
Burglary/ Larceny/ Robbery,2,1,2013,3,4,500 E 2100 S,40.725607,-111.8771244
Damaged Property,2,1,2013,3,4,800 S STATE ST,40.75096129999999,-111.8878227
Burglary/ Larceny/ Robbery,2,1,2013,4,4,300 W HOPE AVE,40.7389021,-111.8996891
Burglary/ Larceny/ Robbery,2,1,2013,4,4,600 E 2100 S,40.7254,-111.8739586
Damaged Property,2,1,2013,5,4,1600 S AWL CIR,40.735745400000006,-111.9803466
Damaged Property,2,1,2013,5,4,200 E 500 S,40.7584619,-111.8853584
Burglary/ Larceny/ Robbery,2,1,2013,4,4,1400 S WEST TEMPLE ST,40.7380118,-111.8942417
Drugs,2,1,2013,4,4,1800 S MAIN ST,40.7313687,-111.8911054
Assault,2,1,2013,1,4,1700 W 400 N,40.7781566,-111.9394048
Damaged Property,2,1,2013,5,4,1300 W IOLA AVE,40.7619743,-111.9284255
Burglary/ Larceny/ Robbery,2,1,2013,6,4,300 N J ST,40.734764,-111.8825175
Burglary/ Larceny/ Robbery,2,1,2013,6,4,800 S STATE ST,40.75096129999999,-111.8878227
Traffic,2,1,2013,7,4,00 N 400 W,40.77467499999999,-111.9029085
Traffic,2,1,2013,6,4,3700 W TERMINAL WESTBOUND DR,40.7899404,-111.9790706
Burglary/ Larceny/ Robbery,2,1,2013,5,4,800 W OURAY AVE,40.7790222,-111.91397
Burglary/ Larceny/ Robbery,2,1,2013,5,4,200 W 300 N,40.7759714,-111.8965372
Assault,2,1,2013,6,4,1700 W KIMBERLY CIR,40.7796072,-111.9422066
Weapons,2,1,2013,7,4,1000 W 600 N,40.7823843,-111.9196916
Burglary/ Larceny/ Robbery,2,1,2013,6,4,300 E 400 S,40.7601745,-111.8823835
Burglary/ Larceny/ Robbery,2,1,2013,7,4,00 E 600 S,40.75675310000001,-111.8697361
Assault,2,1,2013,6,4,500 S CHIPETA WAY,40.75707020000001,-111.8252594
Traffic,2,1,2013,7,4,200 W 800 S,40.7520365,-111.8971196
Traffic,2,1,2013,4,4,400 S REDWOOD RD,40.6847133,-111.9414839
Traffic,2,1,2013,2,4,1900 S 1045 W,40.7288302,-111.9210322
Traffic,2,1,2013,5,4,7TH AVE / I ST,40.77736,-111.8715578
Damaged Property,2,1,2013,7,4,900 N TURIN DR,40.7891387,-111.9383409
Traffic,2,1,2013,1,4,1600 E 1300 S,40.7414032,-111.8447511
Burglary/ Larceny/ Robbery,2,1,2013,8,4,2200 S HIGHLAND DR,40.7229824,-111.8594203
Traffic,2,1,2013,6,4,400 S STATE ST,40.7624883,-111.8885499
Assault,2,1,2013,8,4,300 E HERBERT AVE,40.74644809999999,-111.8825071
Kidnap,2,1,2013,6,4,400 W 500 S,40.758494,-111.9027591
Burglary/ Larceny/ Robbery,2,1,2013,7,4,2100 S 2200 E,40.7254667,-111.8282901
Traffic,2,1,2013,6,4,400 S 900 E,40.7607509,-111.8421094
Traffic,2,1,2013,6,4,1400 E 100 S,40.7670153,-111.8495508
Traffic,2,1,2013,5,4,2100 E 900 S,40.74937070000001,-111.8304752
Traffic,2,1,2013,5,4,3200 S RICHMOND ST,40.7012805,-111.8554678
Traffic,2,1,2013,6,4,1100 E ASHTON AVE,40.72016319999999,-111.8595202
Traffic,2,1,2013,8,4,100 S 300 W,40.7671555,-111.8997787
Burglary/ Larceny/ Robbery,2,1,2013,8,4,300 W HOPE AVE,40.7389021,-111.8996891
Burglary/ Larceny/ Robbery,2,1,2013,7,4,1100 E BRICKYARD RD,40.7015898,-111.8597243
Traffic,2,1,2013,6,4,900 S 500 E,40.7496113,-111.8772699
Burglary/ Larceny/ Robbery,2,1,2013,5,4,1100 E BRICKYARD RD,40.7015898,-111.8597243
Sexual Assault/ Sexual Offense,2,1,2013,6,4,900 S 700 W,40.7538019,-111.91723770000002
Burglary/ Larceny/ Robbery,2,1,2013,8,4,300 S 200 E,40.7626606,-111.8856286
Burglary/ Larceny/ Robbery,2,1,2013,7,4,200 W 1300 S,40.7415803,-111.8965214
Burglary/ Larceny/ Robbery,2,1,2013,8,4,800 E 800 S,40.7505975,-111.8661082
Burglary/ Larceny/ Robbery,2,1,2013,6,4,2300 S FOOTHILL DR,40.7211246,-111.81155929999998
Burglary/ Larceny/ Robbery,2,1,2013,6,4,1600 S EMPIRE RD,40.735524,-111.943902
Drugs,2,1,2013,7,4,00 N 400 W,40.77467499999999,-111.9029085
Weapons,2,1,2013,7,4,300 S 600 W,40.7635558,-111.9087296
Burglary/ Larceny/ Robbery,2,1,2013,6,4,300 W SOUTH TEMPLE ST,40.7668329,-111.9003622
Burglary/ Larceny/ Robbery,2,1,2013,7,4,300 S MAIN ST,40.7629375,-111.890901
Drugs,2,1,2013,7,4,PROSPERITY AVE / AMERICAN BEAUTY DR,40.7859252,-111.9200872
Traffic,2,1,2013,1,4,300 S 5600 W,40.7558352,-112.02496409999998
Traffic,2,1,2013,6,4,200 W 400 S,40.7607174,-111.8968168
Traffic,2,1,2013,7,4,2100 S 700 E,40.72497570000001,-111.8724847
Burglary/ Larceny/ Robbery,2,1,2013,3,4,1100 S RICHARDS ST,40.74483060000001,-111.8925788
Damaged Property,2,1,2013,4,4,1100 S 1300 E,40.7450687,-111.85390420000002
Sexual Assault/ Sexual Offense,2,1,2013,1,4,100 N REDWOOD RD,40.7716848,-111.93884640000002
Assault,2,1,2013,5,4,1300 S WEST TEMPLE ST,40.74158509999999,-111.893956
Burglary/ Larceny/ Robbery,2,1,2013,5,4,5500 W 1730 S,40.7324769,-112.0221987
Burglary/ Larceny/ Robbery,2,1,2013,7,4,1400 S 400 E,40.7392778,-111.8800247
Burglary/ Larceny/ Robbery,2,1,2013,6,4,1700 W NORTH TEMPLE ST,40.77163789999999,-111.9393653
Traffic,2,1,2013,7,4,2100 S 700 E,40.72497570000001,-111.8724847
Burglary/ Larceny/ Robbery,2,1,2013,6,4,2900 S HIGHLAND DR,40.708022,-111.8538847
Burglary/ Larceny/ Robbery,2,1,2013,6,4,900 W PINNOCCHIO DR,40.7881199,-111.9179118
Burglary/ Larceny/ Robbery,2,1,2013,1,4,00 S REDWOOD RD,40.6847133,-111.9414839
Burglary/ Larceny/ Robbery,2,1,2013,1,4,800 E 6TH AVE,40.77620840000001,-111.8655727
Burglary/ Larceny/ Robbery,2,1,2013,8,4,800 S 900 W,40.7518772,-111.9172451
Drugs,2,1,2013,5,4,200 S 500 W,40.7644537,-111.9054265
Burglary/ Larceny/ Robbery,2,1,2013,5,4,1100 S RICHARDS ST,40.74483060000001,-111.8925788
Sexual Assault/ Sexual Offense,2,1,2013,5,4,600 N CATHERINE CIR,40.7824625,-111.9322947
Burglary/ Larceny/ Robbery,2,1,2013,1,4,100 S NAVAJO ST,40.76683660000001,-111.92948359999998
Burglary/ Larceny/ Robbery,2,1,2013,7,4,100 S 400 W,40.7690795,-111.90461670000002
Drugs,2,1,2013,5,4,1600 E 1300 S,40.7414032,-111.8447511
Burglary/ Larceny/ Robbery,2,1,2013,4,4,1200 E 500 S,40.7581792,-111.8566704
Burglary/ Larceny/ Robbery,2,1,2013,4,4,100 W 2100 S,40.7254341,-111.89401399999998
Burglary/ Larceny/ Robbery,2,1,2013,6,4,500 N 1500 W,40.7816096,-111.9335414
Burglary/ Larceny/ Robbery,2,1,2013,7,4,300 E KENSINGTON AVE,40.7364,-111.882483
